"dataid";"localminute";"use";"air1";"air2";"air3";"airwindowunit1";"aquarium1";"bathroom1";"bathroom2";"bedroom1";"bedroom2";"bedroom3";"bedroom4";"bedroom5";"car1";"clotheswasher1";"clotheswasher_dryg1";"diningroom1";"diningroom2";"dishwasher1";"disposal1";"drye1";"dryg1";"freezer1";"furnace1";"furnace2";"garage1";"garage2";"gen";"grid";"heater1";"housefan1";"icemaker1";"jacuzzi1";"kitchen1";"kitchen2";"kitchenapp1";"kitchenapp2";"lights_plugs1";"lights_plugs2";"lights_plugs3";"lights_plugs4";"lights_plugs5";"lights_plugs6";"livingroom1";"livingroom2";"microwave1";"office1";"outsidelights_plugs1";"outsidelights_plugs2";"oven1";"oven2";"pool1";"pool2";"poollight1";"poolpump1";"pump1";"range1";"refrigerator1";"refrigerator2";"security1";"shed1";"sprinkler1";"unknown1";"unknown2";"unknown3";"unknown4";"utilityroom1";"venthood1";"waterheater1";"waterheater2";"winecooler1"
3299;"2013-12-31 19:33:00-06";3.461;0.004;;;;;;;;;;;;;;;;;;;;;;0;;;;;3.461;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;3.343;;
3299;"2013-12-31 19:34:00-06";3.453;0.004;;;;;;;;;;;;;;;;;;;;;;0;;;;;3.453;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;3.335;;
3299;"2013-12-31 19:35:00-06";0.166;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.166;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0.038;;
3299;"2013-12-31 19:36:00-06";0.127;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.127;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 19:37:00-06";0.127;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.127;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 19:38:00-06";0.183;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.183;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 19:39:00-06";0.226;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.226;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 19:40:00-06";0.225;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.225;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 19:41:00-06";0.221;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.221;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 19:42:00-06";0.221;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.221;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
